Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MAPK1/MAPK3 Signaling R-HSA-5684996,4/277,0.385368295,0.598845697,0,0,1.281229981,1.221724267,PDGFRA;NCAM1;PSMB8;DUSP7
RND2 GTPase Cycle R-HSA-9696270,Jan 43,0.388205563,0.60037519,0,0,2.078697851,1.966906059,WDR6
"Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397",Jan 43,0.388205563,0.60037519,0,0,2.078697851,1.966906059,SLC25A6
Deubiquitination R-HSA-5688426,4/279,0.390500233,0.602486074,0,0,1.271781492,1.195890109,MAVS;MYC;USP18;PSMB8
TNF Signaling R-HSA-75893,Jan 44,0.395164378,0.604465806,0,0,2.030253139,1.884995536,OTULIN
"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",Jan 44,0.395164378,0.604465806,0,0,2.030253139,1.884995536,CRKL
Cell-Cell Communication R-HSA-1500931,2/120,0.396067639,0.604465806,0,0,1.480602637,1.371290153,CDH2;FLNA
Glycosaminoglycan Metabolism R-HSA-1630316,2/120,0.396067639,0.604465806,0,0,1.480602637,1.371290153,SDC1;PAPSS2
Metabolism Of Amino Acids And Derivatives R-HSA-71291,5/364,0.397171453,0.604465806,0,0,1.217972847,1.124660563,RPL13A;RPS2;PAPSS2;PSMB8;RPS12
Ub-specific Processing Proteases R-HSA-5689880,3/201,0.399797649,0.604465806,0,0,1.324066558,1.213899901,MYC;USP18;PSMB8
Regulation Of Complement Cascade R-HSA-977606,Jan 45,0.402044386,0.604465806,0,0,1.984010459,1.807816012,CLU
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Jan 45,0.402044386,0.604465806,0,0,1.984010459,1.807816012,MTA1
TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,Jan 45,0.402044386,0.604465806,0,0,1.984010459,1.807816012,USP18
TBC/RABGAPs R-HSA-8854214,Jan 45,0.402044386,0.604465806,0,0,1.984010459,1.807816012,ULK1
Glycosphingolipid Metabolism R-HSA-1660662,Jan 45,0.402044386,0.604465806,0,0,1.984010459,1.807816012,ARSJ
RNA Polymerase I Transcription Initiation R-HSA-73762,Jan 46,0.408846474,0.610443584,0,0,1.939823009,1.735007886,MTA1
XBP1(S) Activates Chaperone Genes R-HSA-381038,Jan 46,0.408846474,0.610443584,0,0,1.939823009,1.735007886,HDGF
