"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP"
"DMD",0.92011482020271,1.77391464185266,0.977749734825373,0.350513850313436,0.87843325992936,-4.78323162466037,0.455294816510861
"FGFR1",-0.727753055732353,1.89792542305065,-1.04230552725311,0.321021204856445,0.873090321534034,-4.78324786520987,0.493466279595176
"RCAN1",-0.625283184577915,1.16860957774374,-0.869241871176926,0.404435688846953,0.889758515463297,-4.78339209543986,0.393150527696731
"LOC112448782",0.298921874888098,-0.126189988436438,0.319528789081689,0.755686450450241,0.968959471251641,-4.7836770327814,0.121658364665177
"ARL2",0.280048467100304,5.36443239895376,1.51810936840207,0.158944067073862,0.838236892545516,-4.78416899305583,0.798755678414019
"ZNF777",0.453661922471401,0.0987198655961436,0.465690412209851,0.651089466590629,0.948667353203269,-4.78434524811929,0.186359330668415
"DKKL1",-0.771620964954222,1.12505356066629,-0.853782620696484,0.412563063550848,0.893206145369273,-4.784360005821,0.384509656668512
"RAI14",0.828217360711576,2.70205726442411,1.16963885541345,0.268394581643854,0.858435740665471,-4.78453144417252,0.571226255961793
"TMEM145",0.61136145094458,0.155776769092197,0.485995112361496,0.637102953791893,0.946498902640481,-4.78456608126818,0.195790381399601
"CLEC1A",-0.476041733960651,-0.0228960153307314,-0.395816277299002,0.700282875074197,0.959527767969209,-4.78481448101579,0.154726493888643
"SELPLG",-0.908745510611934,0.2902873636387,-0.559912280334551,0.587460485997954,0.933921304052483,-4.78482234064155,0.231021339762897
"FYB2",-0.386528406514315,-0.255873875425772,-0.174586669205698,0.864774813266239,0.982191701830403,-4.78484109970451,0.0630969677813656
"LYPD6B",0.070397251304413,-0.306268742862552,0.0448401245135043,0.965088717232272,0.998782423855893,-4.78485741233298,0.015432761647467
"MLH3",0.673987504928236,2.66553620436431,1.1677718415403,0.269114180420606,0.858435740665471,-4.78498359409707,0.570063417374992
"CABLES1",-0.494141716896526,1.2155672044561,-0.882017608664073,0.39780276681861,0.888068972520978,-4.78517648328176,0.400332200573383
"CCDC71L",-0.618053380702311,1.62077032786062,-0.984352325032917,0.347409176642506,0.877626600587192,-4.78527230996103,0.459158714062303
"CYB561D2",0.349413166056947,5.45542845112907,1.52519370382749,0.157189456546598,0.838236892545516,-4.78531649633227,0.803576587540858
"TMEM263",0.49030782136674,3.10983273138475,1.23838539009553,0.242944662982622,0.849619565479176,-4.78532572604926,0.614492637093488
"HS6ST1",0.41896388271479,0.21659489984906,0.518175557613258,0.615239257611512,0.942061110437603,-4.78537323285784,0.210955960560182
"ZNF232",-0.475367708145399,2.18248638369232,-1.09868788029773,0.296821771008419,0.870836919446467,-4.78551183849696,0.52750424799522
"LOC100300684",-0.11183714269787,-0.278532702723562,-0.0451058281588859,0.964882001053192,0.998713876037295,-4.78555032408654,0.015525794868528
"SOWAHC",-0.540395910049793,0.435144847999703,-0.619634295005589,0.548905286221041,0.92133046267368,-4.78608419342365,0.260502586734192
"LOC132342099",-0.688379348901215,0.948260974102287,-0.793401970828344,0.445364075704546,0.898397470981935,-4.78613172745085,0.351284817280661
"KLHL3",-0.646902602690182,1.09567621590626,-0.838585233652416,0.420660616614825,0.894424966550731,-4.78623651239363,0.376068145904316
"MYH8",0.42445608711046,0.863808747267001,0.768552331674581,0.459348611108365,0.904274279324263,-4.78627621748963,0.337857592424432
"LOC101904477",0.790707207633689,2.0168890804756,1.05214326780433,0.316694793854172,0.872747545343706,-4.78643248714398,0.499359075936548
