"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP","Significance"
"TOM1L2",0.532606166666666,2.4513412,0.925693241715132,0.401809296609636,0.482406261023747,-6.5283180832501,0.395980019256366,"Not Significant"
"HSPA1A",-0.524179499999998,6.6653458,-0.925403686705414,0.40194460638845,0.482524597412298,-6.52859064272675,0.395833794670402,"Not Significant"
"TNKS",-0.643162166666666,5.6893842,-0.9250108311578,0.402128248304403,0.48270092840342,-6.52896034739195,0.395635417939573,"Not Significant"
"TMEM259",-0.991419666666666,2.5585212,-0.924645625219919,0.402299026786341,0.482861787748672,-6.52930393669464,0.395451018042294,"Not Significant"
"SCAPER",-1.57474616666667,7.2477598,-0.923602719377206,0.402787039134924,0.483403344719414,-6.5302846076444,0.394924512603882,"Not Significant"
"CSNK1E",0.949934166666668,4.338126,0.923505746849515,0.40283244054958,0.483413653412874,-6.53037575534757,0.394875562486926,"Not Significant"
"GRTP1",-0.84396,2.728651,-0.923164280153769,0.402992344565275,0.48356135497361,-6.53069665970053,0.394703203845582,"Not Significant"
"ANTXR1",0.8608475,2.648286,0.922923088607783,0.403105322373405,0.483652726670403,-6.53092327884285,0.394581467631765,"Not Significant"
"SLC12A7",-0.597951666666667,2.750235,-0.922272558008339,0.403410169753205,0.483974269066243,-6.53153430554358,0.394253157655162,"Not Significant"
"U2SURP",-0.869349833333333,7.1294486,-0.92205942622198,0.40351008707753,0.484049919019103,-6.53173443130455,0.394145604170279,"Not Significant"
"GTF2H2",-0.646222166666666,7.7761042,-0.921156859263444,0.403933439112302,0.484513511364884,-6.53258157316337,0.393690192829453,"Not Significant"
"SPAG16",0.366304833333333,2.3515604,0.918967677171463,0.404961786882122,0.485670122128766,-6.53463398316921,0.392585955869806,"Not Significant"
"PQBP1",-0.873694333333336,6.0587264,-0.918946681197534,0.404971659862168,0.485670122128766,-6.53465365134073,0.392575367886877,"Not Significant"
"PEX19",0.4305285,4.4154436,0.918583541073109,0.40514245101256,0.48583057864094,-6.53499377788953,0.392392248856419,"Not Significant"
"ZBTB37",1.2961705,5.2289418,0.917079420880944,0.405850489715116,0.486635192744604,-6.53640160303724,0.391633925659807,"Not Significant"
"CSMD2",0.609837000000001,3.2027272,0.916976670719184,0.405898894313154,0.486648797600688,-6.53649771779005,0.391582131718807,"Not Significant"
"PHYH",0.930685666666666,4.3455094,0.914583408759092,0.407027665813412,0.487957577821958,-6.53873435254177,0.390376070623042,"Not Significant"
"FAM221B",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"IL17RA",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"MOGS",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"SLC22A15",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"SUMF2",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"FCRL3",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"KLK8",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"RHEX",-0.409511833333333,1.8860704,-0.913823354369273,0.407386675519621,0.488031547429635,-6.53944383153184,0.38999317966314,"Not Significant"
"CNBD2",-0.297285500000005,6.2473492,-0.91332455111958,0.4076224237105,0.488269421523879,-6.53990922479054,0.389741933041797,"Not Significant"
"GRM4",-0.608908666666667,2.7436608,-0.911855864727514,0.408317208815217,0.489008421051734,-6.541278530514,0.389002316045666,"Not Significant"
